nom_commune;latitude;longitude
Beauvois-en-Vermandois;49.816667;3.1
Bellenglise;49.916667;3.25
Bellicourt;49.95;3.233333
Benay;49.75;3.316667
Berthenicourt;49.766667;3.383333
Bony;49.983333;3.216667
Bray-Saint-Christophe;49.766667;3.15
Brissay-Choigny;49.716667;3.366667
Brissy-Hamégicourt;;
Castres;49.8;3.233333
Caulaincourt;49.866667;3.1
Cerizy;49.75;3.333333
Châtillon-sur-Oise;49.783333;3.4
Clastres;49.733333;3.233333
Contescourt;49.8;3.233333
Cugny;49.7;3.15
Dallon;49.816667;3.233333
Douchy;49.766667;3.116667
Dury;;
Essigny-le-Grand;49.766667;3.283333
Essigny-le-Petit;49.9;3.366667
Estrées;49.966667;3.283333
Etreillers;49.816667;3.15
Fayet;49.866667;3.25
Fieulaine;49.883333;3.45
Flavy-le-Martel;49.716667;3.2
Fluquières;49.8;3.15
Fonsommes;49.9;3.4
Fontaine-lès-Clercs;49.8;3.216667
Fontaine-Notre-Dame;49.883333;3.433333
Foreste;49.816667;3.1
Francilly-Selency;49.85;3.233333
Gauchy;49.816667;3.266667
Germaine;49.783333;3.116667
Gibercourt;49.733333;3.283333
Gouy;;
Gricourt;49.883333;3.25
Grugies;49.8;3.266667
Happencourt;49.783333;3.183333
Hargicourt;;
Harly;49.833333;3.316667
Hinacourt;49.733333;3.283333
Holnon;49.866667;3.216667
Homblières;49.85;3.366667
Itancourt;49.8;3.35
Jeancourt;49.933333;3.15
Joncourt;49.95;3.3
Jussy;49.716667;3.233333
Lanchy;49.833333;3.083333
Le Catelet;50;3.25
Lehaucourt;49.916667;3.283333
Lempire;49.983333;3.166667
Lesdins;49.9;3.333333
Levergies;49.933333;3.316667
Le Verguier;49.933333;3.166667
Ly-Fontaine;49.716667;3.3
Magny-la-Fosse;49.933333;3.283333
Maissemy;49.883333;3.2
Marcy;49.833333;3.4
Mesnil-Saint-Laurent;49.833333;3.35
Mézières-sur-Oise;49.766667;3.4
Montescourt-Lizerolles;;
Morcourt;49.866667;3.316667
Moy-de-l'Aisne;49.75;3.366667
Nauroy;49.95;3.25
Neuville-Saint-Amand;49.816667;3.333333
Ollezy;49.716667;3.133333
Omissy;49.883333;3.316667
Pithon;49.75;3.1
Pontru;49.9;3.216667
Pontruet;49.9;3.233333
Remaucourt;49.9;3.333333
Remigny;49.716667;3.283333
Roupy;49.816667;3.183333
Rouvroy;49.85;3.316667
Saint-Quentin;49.85;3.283333
Saint-Simon;49.75;3.166667
Savy;49.8;3.183333
Sequehart;49.916667;3.333333
Seraucourt-le-Grand;49.783333;3.216667
Sommette-Eaucourt;49.733333;3.116667
Trefcon;49.866667;3.1
Tugny-et-Pont;49.75;3.15
Urvillers;49.783333;3.316667
Vaux-en-Vermandois;49.816667;3.15
Vendelles;49.916667;3.133333
Vendeuil;49.716667;3.35
Vendhuile;50.016667;3.216667
Vermand;49.866667;3.15
Villeret;49.95;3.183333
Villers-Saint-Christophe;49.783333;3.1
Albitreccia;41.85;8.933333
Altagène;41.7;9.066667
Arbellara;41.683333;8.983333
Argiusta-Moriccio;41.8;9.016667
Aullène;41.766667;9.083333
Azilone-Ampaza;41.866667;9.016667
Bastelica;42;9.05
Belvédère-Campomoro;;
Bilia;41.616667;8.916667
Bonifacio;41.391667;9.166667
Campo;;
Carbini;41.666667;9.133333
Cardo-Torgia;41.866667;8.983333
Cargiaca;41.716667;9.05
Casalabriva;41.75;8.933333
Cauro;41.9;8.916667
Ciamannacce;41.95;9.15
Cognocoli-Monticchi;41.816667;8.9
